"ID","Type","Name","Documentation","Specialization"
"id-52543edab0f7444bbb0fe9b50a9bb8f3","ArchimateModel","Full_Element_Relation","",""
"id-47bcae08302f401787486423f3c82194","Capability","Capability","",""
"id-bed3d1f6e0c94bf0bb7b4db4f8006fce","Capability","Capability","",""
"id-c74eace313594df3b923c5cc900b0a76","CourseOfAction","Course of Action","",""
"id-876d373f291e48fb8271ea38a8e46836","Resource","Resource","",""
"id-ba6cfe845ed84e1da46f28d88b1c601a","ValueStream","Value Stream","",""
"id-54fcd171969e46eb95cb7253eb2fb711","BusinessActor","Business Actor","",""
"id-6fa83ea6440b4cd499f22412a6b01641","BusinessCollaboration","Business Collaboration","",""
"id-828a66c0c70e42a6adcb5ffa31453dff","BusinessEvent","Business Event","",""
"id-8fd3a7004fb14a0da67175abb490ce3d","BusinessFunction","Business Function","",""
"id-18c444932ba8470ab12e7c9e88e04565","BusinessInteraction","Business Interaction","",""
"id-f5d7a6e7126944929002cff01d5566f4","BusinessInterface","Business Interface","",""
"id-9c60cc9a844444a79d3985f7284953a4","BusinessObject","Business Object","",""
"id-d41075de7ef947e1a4a75876d89fb7c0","BusinessProcess","Business Process","",""
"id-ef7d7725e2d046c1a13a259b5566567e","BusinessRole","Business Role","",""
"id-7efeb10973fd405e9ba91cefbfda5056","BusinessService","Business Service","",""
"id-e43ee7ce63984eef81ec479f3dece2d9","Contract","Contract","",""
"id-693bd1250e944fecb63bfff83e59f26e","Product","Product","",""
"id-77b341e2f8204f219703eb76cedf6dfa","Representation","Representation","",""
"id-37ee0aedbb8b492491011eec6ea21345","ApplicationCollaboration","Application Collaboration","",""
"id-beb455831b2340eba44bba70e69b5cee","ApplicationComponent","Application Component","",""
"id-ba0680e02a054596a2bbaf813befb5df","ApplicationEvent","Application Event","",""
"id-33c43e1475284dde939118a9a9975efb","ApplicationFunction","Application Function","",""
"id-3073bd355c884228b0fc7833d308dd7f","ApplicationInteraction","Application Interaction","",""
"id-41176aec9ecf4838bca391a0ba09d275","ApplicationInterface","Application Interface","",""
"id-fe981895cec44cdc8d7d888517123a5b","ApplicationProcess","Application Process","",""
"id-22cf2b824f3c49aca7d2a7596df4c3d0","ApplicationService","Application Service","",""
"id-9ad9a59a89604495845bf4656d6fde40","DataObject","Data Object","",""
"id-75053a6ec9134d828021fdb1e2d9e0ab","Artifact","Artifact","",""
"id-9572032c2c924755ae4e477b5fdafcaa","CommunicationNetwork","Communication Network","",""
"id-a16b078bea864316bcdb36b0eba89f6d","Device","Device","",""
"id-24c34bfcae134130acbd09476f68c18b","DistributionNetwork","Distribution Network","",""
"id-2c91d2dd394947e4abdbdbba71d966db","Equipment","Equipment","",""
"id-5e44d14084614d92a463ad084705a82a","Facility","Facility","",""
"id-af95ed9dd9464130963d0ddefe266f78","Material","Material","",""
"id-d80543e9f7d9433abd25b1be7baab690","Node","Node","",""
"id-438b69db1ad64740a2b42490e53f3f55","Path","Path","",""
"id-3c9d281a91eb48f0a089bd39b4470674","SystemSoftware","System Software","",""
"id-fe7f743d47eb40949e582927b2e003a3","TechnologyCollaboration","Technology Collaboration","",""
"id-053348c6080d4f2fac30862ef7b7a489","TechnologyEvent","Technology Event","",""
"id-47e61837b1bd406abd6394ad796caab3","TechnologyFunction","Technology Function","",""
"id-c0ffb6c5ef3848d8a9fafe3e5aa48c7f","TechnologyInteraction","Technology Interaction","",""
"id-b0ec909598be459597fde253f4b0026a","TechnologyInterface","Technology Interface","",""
"id-6d3cb2f845d84ae29eb4c89baaf20f46","TechnologyProcess","Technology Process","",""
"id-497ce6083de44fea833f034758a79289","TechnologyService","Technology Service","",""
"id-4f9d35c1f6324235810ec3c422c13f22","Assessment","Assessment","",""
"id-604fde8a7c7349ecb45c80494a3220cc","Constraint","Constraint","",""
"id-34569dc1960d453aaa6c28fae619c437","Driver","Driver","",""
"id-dc0dea596b2445f4bda33b86b3e25b2a","Goal","Goal","",""
"id-cbf7950ada424398aefcbbcb3c5fd914","Meaning","Meaning","",""
"id-8e4da645dec640a795a00f9cfba2a267","Outcome","Outcome","",""
"id-1a2be888852646c58f0beef0f7d316cb","Principle","Principle","",""
"id-cf6642b3ebde4750a0b7744caf4eefa0","Requirement","Requirement","",""
"id-333a39d1c41d451e9b3fa06af787b055","Stakeholder","Stakeholder","",""
"id-d3424c81c6fd4b96beb1bc5b9b95157b","Value","Value","",""
"id-fdea80cf806842c7aac002061d56e684","Deliverable","Deliverable","",""
"id-52c5c67dec354e14ac0634d2def14414","Gap","Gap","",""
"id-3ac5e796ec6e478b9b1240cca1818afa","ImplementationEvent","Implementation Event","",""
"id-36af18ea484c49f7bf51e0b57528c2a7","Plateau","Plateau","",""
"id-e02256c5701844d1aa11a0fcf3296431","WorkPackage","Work Package","",""
"id-be7e8d8434b2468fb75186e46460304a","Grouping","Grouping","",""
"id-4924a8a2732847f8ba7eb0c415b73758","Junction","Junction","",""
"id-e5c113db12cf47d78ca86f6aa670ea2d","Location","Location","",""